Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Lulu;65;17;7;10;41.2;91.1;12;01.53;02.34;05.12;03.42;244.47.00;07.55;11.71k;362;76.4%;17.6%;21.3%
Kalista;53;28;18;10;64.3;90;12;04.18;02.01;04.21;05.22;297.29.00;08.49;14.46k;413;73%;36.3%;23%
Corki;26;50;27;23;54;84.4;21;03.48;02.04;04.04;04.59;331.24.00;09.06;15.07k;413;70.8%;32.8%;23.2%
Gangplank;58;16;9;7;56.3;82.2;10;02.25;02.34;06.15;04.13;316.44.00;09.03;15.91k;434;75.7%;21.3%;24.3%
Alistar;32;40;20;20;50;80;11;00.58;02.35;08.35;04.03;42.25.00;01.17;9.28k;260;75.3%;5.1%;14.6%
Lucian;13;56;29;27;51.8;76.7;12;03.34;02.35;04.45;04.00;323.32.00;09.31;14.56k;419;68.7%;29.4%;23.5%
Poppy;28;34;17;17;50;68.9;15;02.03;03.02;06.28;03.02;205.35.00;06.15;12.18k;341;63.3%;16.2%;19.2%
Elise;16;41;17;24;41.5;63.3;11;02.03;02.27;05.27;03.04;130.15.00;03.57;11.74k;322;68.5%;16.2%;18.6%
Nidalee;27;27;18;9;66.7;60;9;02.48;02.04;06.44;04.38;175.04.00;05.08;13.99k;374;73.9%;20.6%;20.1%
Braum;9;42;18;24;42.9;56.7;11;00.21;2.4;07.28;03.35;43.04.00;01.23;8.79k;253;70.8%;2.1%;14.5%
Fiora;20;24;10;14;41.7;48.9;10;03.28;03.19;03.07;02.39;282.19.00;08.19;13.49k;392;54.5%;28.3%;22.2%
Thresh;11;32;18;14;56.3;47.8;8;00.56;02.13;08.56;04.29;43.16.00;01.18;9.47k;260;73.9%;4.6%;14.5%
Graves;13;30;16;14;53.3;47.8;15;03.07;02.27;04.17;03.01;221.07.00;06.38;12.85k;372;70.9%;27.7%;21.1%
Lissandra;16;25;13;12;52;45.6;13;2.4;03.24;05.48;03.17;306.6;08.54;13.85k;386;65.7%;20%;21.5%
Tahm Kench;22;16;12;4;75;42.2;11;01.38;02.28;06.09;04.17;160.38.00;05.06;11.32k;329;60.1%;11.7%;17.8%
Lee Sin;0;33;16;17;48.5;36.7;13;02.22;02.39;06.55;03.49;120.01.00;03.53;10.96k;323;75.8%;16.5%;18.4%
Gragas;6;22;15;7;68.2;31.1;12;01.27;2.5;08.13;04.00;11.17;03.56;11.83k;322;69%;9.8%;17.8%
Ezreal;0;28;9;19;32.1;31.1;12;03.11;02.29;05.01;04.27;277.19.00;08.14;12.81k;377;74.8%;27.7%;22%
Quinn;14;14;7;7;50;31.1;7;03.57;03.29;04.36;02.41;278.07.00;08.16;13.99k;390;63.8%;28.7%;21.6%
Ryze;14;13;4;9;30.8;30;7;03.08;03.31;03.38;02.35;270.31.00;07.54;13.35k;372;65.1%;31%;21.7%
Trundle;6;21;10;11;47.6;30;13;1.1;02.26;07.05;04.38;127.9;03.57;10.82k;302;70.4%;9.5%;17.2%
Ahri;1;25;11;14;44;28.9;8;02.44;02.28;4.2;03.53;307.28.00;08.57;13.87k;387;64.1%;23.6%;22.1%
Kindred;15;11;4;7;36.4;28.9;7;03.45;04.04;05.27;02.40;164.45.00;4.5;12.98k;356;78.7%;31.1%;20.2%
LeBlanc;10;16;11;5;68.8;28.9;9;5;01.25;05.09;08.15;297.19.00;08.11;15.11k;413;71.1%;36.7%;22.3%
Rek'Sai;5;20;6;14;30;27.8;10;01.35;03.05;5.7;02.50;147.25.00;04.09;11.68k;324;67.9%;9.7%;18.9%
Viktor;0;21;11;10;52.4;23.3;7;03.35;02.29;05.16;03.38;302.24.00;09.12;13.51k;390;71.4%;27.3%;22.4%
Morgana;7;13;6;7;46.2;22.2;7;01.08;02.17;06.31;04.17;106;03.39;10.74k;303;72.7%;10.6%;17.3%
Nautilus;1;19;10;9;52.6;22.2;9;02.08;02.58;07.37;03.51;241.21.00;07.14;12.62k;353;72%;13.4%;19.4%
Rammus;9;11;9;2;81.8;22.2;6;01.55;02.31;07.55;05.16;259.45.00;07.14;13.48k;371;62.9%;10.7%;19.5%
Malphite;2;15;7;8;46.7;18.9;8;2.2;2;06.33;04.07;244.4;07.13;12.03k;351;75.8%;20.5%;20.1%
Kog'Maw;10;7;3;4;42.9;18.9;6;05.11;03.26;5;03.40;349;08.58;16.6k;408;73.9%;35.9%;23.5%
Shen;8;8;4;4;50;17.8;6;01.25;02.25;5;03.18;206.25.00;06.09;11.38k;336;64.9%;13%;19.4%
Janna;0;14;7;7;50;15.6;8;00.29;02.33;8;04.30;17.07;0.5;8.93k;260;77.3%;2.7%;14.8%
Azir;3;11;4;7;36.4;15.6;7;02.45;3;03.18;02.28;21.27;09.25;13.33k;398;64.6%;28.1%;22.7%
Sivir;0;10;4;6;40;11.1;6;3.8;1.3;5.1;07.25;358.8;10.18;15.69k;445;79.5%;33.9%;24.6%
Zed;4;6;3;3;50;11.1;3;02.33;03.07;03.17;02.06;272.5;7.9;12.9k;374;55.9%;23.7%;21.1%
Bard;1;9;7;2;77.8;11.1;7;00.33;01.22;08.56;07.27;33.56.00;01.28;10.43k;273;74.1%;2.8%;14.9%
Caitlyn;0;8;5;3;62.5;8.9;4;03.15;03.03;04.25;03.07;332.38.00;8.6;15.03k;389;62.2%;24.4%;21.8%
Zilean;2;5;2;3;40;7.8;4;0.8;2.4;3.8;02.32;262;07.24;13.02k;340;57.5%;10%;19.7%
Jhin;2;4;3;1;75;6.7;3;4.5;1;05.15;09.25;307.15.00;09.39;14.63k;448;67.3%;32.7%;23.9%
Miss Fortune;0;6;4;2;66.7;6.7;3;03.17;01.23;04.23;08.40;294.23.00;09.01;13.5k;414;70%;31.7%;23.1%
Zac;1;4;2;2;50;5.6;2;2;1.5;06.25;05.50;213;06.18;12.9k;350;70.2%;17%;19.7%
Olaf;2;3;1;2;33.3;5.6;2;03.33;02.07;01.33;03.20;267.33.00;08.33;12.3k;365;51.9%;37%;21.2%
Maokai;0;5;1;4;20;5.6;3;2.2;3;4;02.06;218.2;06.58;10.84k;327;83.8%;29.7%;20.4%
Rumble;2;2;0;2;0;4.4;2;2;5;7;02.20;138.5;04.32;10.35k;323;72%;16%;19%
Orianna;1;3;1;2;33.3;4.4;2;04.33;02.33;05.07;04.26;374;09.06;16.9k;410;81.8%;39.4%;23.7%
Lux;1;3;1;2;33.3;4.4;3;04.07;01.07;07.07;15.50;365.07.00;08.17;17.03k;382;91.2%;32.4%;22.8%
Kennen;0;4;2;2;50;4.4;3;2;1;2.5;04.50;166;06.24;9.7k;341;54.5%;24.2%;19.6%
Varus;0;3;2;1;66.7;3.3;2;3;1;03.07;06.07;236.07.00;08.07;11.2k;383;51.5%;27.3%;21.3%
Gnar;0;3;2;1;66.7;3.3;3;01.33;2;07.07;04.00;316.07.00;07.52;15.3k;365;82.8%;13.8%;20.6%
Tristana;0;2;1;1;50;2.2;2;2;0.5;3;10.00;373.5;10.11;16.2k;421;76.9%;30.8%;24.3%
Kassadin;1;1;0;1;0;2.2;1;3;3;2;02.07;194;07.24;9.2k;324;83.3%;50%;21.5%
Twisted Fate;0;2;0;2;0;2.2;2;1;1.5;4.5;04.07;301.5;08.25;14.2k;370;91.7%;16.7%;23.3%
Karma;1;1;1;0;100;2.2;1;3;3;5;03.07;319;7.4;15.3k;355;53.3%;20%;20.2%
Syndra;0;2;0;2;0;2.2;2;2;4;1.5;01.28;287.5;08.57;12.35k;368;46.7%;26.7%;22.5%
Soraka;0;2;1;1;50;2.2;2;0.5;3;10;03.50;13;00.38;8.75k;256;91.3%;4.3%;14.3%
Renekton;0;1;1;0;100;1.1;1;2;3;6;03.07;340;08.19;15.8k;381;72.7%;18.2%;21%
Sejuani;0;1;0;1;0;1.1;1;0;3;1;00.33;79;03.45;6.5k;284;100%;0%;19.8%
Nasus;0;1;0;1;0;1.1;1;4;6;6;02.07;336;08.06;16.6k;378;71.4%;28.6%;21.5%
Pantheon;1;0;0;0;-;1.1;-;-;-;-;-;-;-;-;-;-;-;-
Anivia;0;1;0;1;0;1.1;1;0;4;5;01.25;307;8.5;12.6k;349;62.5%;0%;20.9%
Udyr;0;1;0;1;0;1.1;1;2;1;1;03.00;169;05.27;11.1k;320;100%;66.7%;20.5%
Taric;0;1;1;0;100;1.1;1;0;0;4;04.00;33;01.34;8.9k;253;50%;0%;14%
Dr. Mundo;0;1;0;1;0;1.1;1;2;4;2;01.00;151;6.3;8.2k;342;40%;20%;20.5%
Vel'Koz;0;1;0;1;0;1.1;1;3;3;4;02.33;352;09.22;14.3k;375;63.6%;27.3%;23.1%
Cassiopeia;0;1;1;0;100;1.1;1;3;1;7;10.00;244;09.46;11.8k;457;58.8%;17.6%;21.9%
Jayce;0;1;1;0;100;1.1;1;9;5;7;03.20;295;08.25;16.8k;447;84.2%;47.4%;24%
Jinx;0;1;0;1;0;1.1;1;8;4;4;03.00;475;10.12;22.5k;461;92.3%;61.5%;26.2%
Vayne;0;1;0;1;0;1.1;1;0;4;2;00.50;273;08.07;11.9k;334;33.3%;0%;20.4%
Akali;1;0;0;0;-;1.1;-;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
