Week 1;;;
[hide]Day 1;;;
AFs;2;0;LZ
CJ;0;2;Ever
[hide]Day 2;;;
ROX;0;2;SSG
[hide]Day 3;;;
MVP;0;2;KT
[hide]Day 4;;;
JAG;2;0;LZ
Week 2;;;
[hide]Day 1;;;
AFs;0;2;SSG
[hide]Day 2;;;
Ever;1;2;JAG
[hide]Day 3;;;
ROX;2;1;MVP
LZ;1;2;KT
[hide]Day 4;;;
SKT;2;0;CJ
[hide]Day 5;;;
Ever;0;2;ROX
SSG;2;0;MVP
[hide]Day 6;;;
KT;0;2;SKT
CJ;0;2;AFs
Week 3;;;
[hide]Day 1;;;
ROX;0;2;SKT
[hide]Day 2;;;
LZ;1;2;CJ
[hide]Day 3;;;
SSG;2;0;JAG
KT;1;2;ROX
[hide]Day 4;;;
Ever;0;2;LZ
[hide]Day 5;;;
CJ;0;2;JAG
KT;2;0;AFs
[hide]Day 6;;;
MVP;2;0;Ever
SKT;2;0;SSG
Week 4;;;
[hide]Day 1;;;
SKT;2;0;MVP
[hide]Day 2;;;
JAG;2;0;AFs
[hide]Day 3;;;
ROX;2;1;CJ
SSG;0;2;LZ
[hide]Day 4;;;
AFs;0;2;Ever
[hide]Day 5;;;
JAG;2;1;SKT
ROX;2;0;LZ
[hide]Day 6;;;
Ever;0;2;KT
CJ;1;2;SSG
Week 5;;;
[hide]Day 1;;;
JAG;0;2;MVP
[hide]Day 2;;;
SSG;0;2;KT
[hide]Day 3;;;
SKT;0;2;AFs
MVP;2;0;CJ
[hide]Day 4;;;
JAG;0;2;ROX
[hide]Day 5;;;
Ever;1;2;SSG
LZ;0;2;SKT
[hide]Day 6;;;
CJ;1;2;KT
ROX;2;0;AFs
Week 6;;;
[hide]Day 1;;;
MVP;2;0;LZ
[hide]Day 2;;;
KT;2;1;JAG
[hide]Day 3;;;
AFs;2;1;MVP
SKT;1;2;Ever
Week 7;;;
[hide]Day 1;;;
AFs;2;1;KT
[hide]Day 2;;;
LZ;0;2;MVP
[hide]Day 3;;;
SSG;2;0;Ever
JAG;0;2;CJ
[hide]Day 4;;;
SKT;2;0;ROX
[hide]Day 5;;;
LZ;0;2;SSG
CJ;1;2;MVP
[hide]Day 6;;;
SKT;2;1;KT
ROX;2;1;JAG
Week 8;;;
[hide]Day 1;;;
MVP;0;2;SKT
[hide]Day 2;;;
JAG;0;2;SSG
[hide]Day 3;;;
ROX;2;0;KT
Ever;2;1;AFs
[hide]Day 4;;;
CJ;0;2;LZ
[hide]Day 5;;;
JAG;1;2;KT
MVP;0;2;AFs
[hide]Day 6;;;
SSG;0;2;ROX
LZ;2;1;Ever
Week 9;;;
[hide]Day 1;;;
LZ;0;2;ROX
[hide]Day 2;;;
KT;2;0;MVP
[hide]Day 3;;;
SSG;0;2;SKT
AFs;2;1;CJ
[hide]Day 4;;;
ROX;2;0;Ever
[hide]Day 5;;;
LZ;2;1;JAG
SSG;2;0;CJ
[hide]Day 6;;;
AFs;2;0;SKT
Ever;2;1;MVP
Week 10;;;
[hide]Day 1;;;
CJ;1;2;SKT
[hide]Day 2;;;
AFs;1;2;JAG
[hide]Day 3;;;
KT;2;0;LZ
Ever;0;2;SKT
[hide]Day 4;;;
MVP;2;0;JAG
[hide]Day 5;;;
LZ;2;1;AFs
KT;2;1;Ever
[hide]Day 6;;;
MVP;1;2;SSG
CJ;0;2;ROX
Week 11;;;
[hide]Day 1;;;
SSG;2;1;AFs
[hide]Day 2;;;
Ever;1;2;CJ
[hide]Day 3;;;
SKT;2;1;JAG
MVP;0;2;ROX
[hide]Day 4;;;
KT;2;0;CJ
[hide]Day 5;;;
AFs;0;2;ROX
SKT;0;2;LZ
[hide]Day 6;;;
JAG;2;1;Ever
KT;2;0;SSG
